id,dataset,model,approach,coverage,single,cq_size,ambiguous
hwu64-bert-cicc,hwu64,bert,cicc,0.9540050672383552,0.8201438848920863,2.810514786418401,0.0056387322574372
hwu64-bert-h1,hwu64,bert,h1,0.9673342407155356,0.7003694341823838,5.0,0.0
hwu64-bert-h2,hwu64,bert,h2,0.9029749173634066,1.0,,0.0
hwu64-bert-h3,hwu64,bert,h3,0.9786117052304104,0.0,5.0,0.0
clinc150-bert-cicc,clinc150,bert,cicc,0.9877879544823758,0.9664355062413315,2.6638655462184873,0.0011095700416088765
clinc150-bert-h1,clinc150,bert,h1,0.994729542302358,0.8199722607489598,5.0,0.0
clinc150-bert-h2,clinc150,bert,h2,0.9791955617198336,1.0,,0.0
clinc150-bert-h3,clinc150,bert,h3,0.996116504854369,0.0,5.0,0.0
banking77-bert-cicc,banking77,bert,cicc,0.9814595660749508,0.7856324035154757,2.8997912317327765,0.0359189912113106
banking77-bert-h1,banking77,bert,h1,0.9701948796331678,0.9044707680550248,5.0,0.0
banking77-bert-h2,banking77,bert,h2,0.9323653037829576,1.0,,0.0
banking77-bert-h3,banking77,bert,h3,0.9881543752388232,0.0,5.0,0.0
mtod-bert-cicc,mtod,bert,cicc,0.9921523369878824,0.9998845931909984,,0.0
mtod-bert-h1,mtod,bert,h1,0.9966532025389498,0.9817657241777265,5.0,0.0
mtod-bert-h2,mtod,bert,h2,0.9921523369878824,1.0,,0.0
mtod-bert-h3,mtod,bert,h3,0.9997691863819964,0.0,5.0,0.0
atis-bert-cicc,atis,bert,cicc,0.985519591141397,0.9761499148211245,2.5357142857142856,0.0
atis-bert-h1,atis,bert,h1,0.9948892674616696,0.7308347529812607,5.0,0.0
atis-bert-h2,atis,bert,h2,0.9787052810902896,1.0,,0.0
atis-bert-h3,atis,bert,h3,0.9965928449744464,0.0,5.0,0.0
acid-bert-cicc,acid,bert,cicc,0.9830547818013,0.871447902571042,3.0112612612612613,0.0322507893549842
acid-bert-h1,acid,bert,h1,0.9772214704555706,0.8761840324763194,5.0,0.0
acid-bert-h2,acid,bert,h2,0.946549391069012,1.0,,0.0
acid-bert-h3,acid,bert,h3,0.9869192602616148,0.0,5.0,0.0
banking77-dfcx-cicc,banking77,dfcx,cicc,0.9116883116883115,0.6558441558441559,2.625536480686695,0.0233766233766233
banking77-dfcx-h1,banking77,dfcx,h1,0.9522727272727272,0.7103896103896103,4.791479820627803,0.2678571428571428
banking77-dfcx-h2,banking77,dfcx,h2,0.8993506493506493,0.977922077922078,2.264705882352941,0.0003246753246753
banking77-dfcx-h3,banking77,dfcx,h3,0.972077922077922,0.0,5.0,1.0
industry-cicc,industry,claris,cicc,0.905623385007202,0.2533641463438432,3.464417400951296,0.1075575115128081
industry-h1,industry,claris,h1,0.8829452233816025,0.4201447604979706,5.0,0.0
industry-h2,industry,claris,h2,0.7023603501955167,1.0,,0.0
industry-h3,industry,claris,h3,0.9085502770680433,0.0,5.0,0.0
clinc150-ood-bert-cicc,clinc150-ood,bert,cicc,0.7480033627574612,0.7793964620187305,3.806515301085883,0.0249739854318418
